bairro,precos,quartos,areas
Abranches,2500.0,2,80
Abranches,2100.0,2,65
Abranches,2500.0,2,80
Abranches,2100.0,2,65
Abranches,600.0,1,35
Abranches,855.0,1,28
Abranches,855.0,1,28
Abranches,855.0,1,28
Ahu,990.0,1,40
Ahu,2000.0,2,100
Ahu,2000.0,2,100
Ahu,3500.0,3,100
Ahu,1100.0,3,96
Ahu,2900.0,3,177
Ahu,1200.0,3,65
Ahu,1900.0,3,65
Ahu,2800.0,1,110
Ahu,5200.0,3,279
Ahu,905.0,3,72
Ahu,800.0,2,80
Alto-Boqueirao,900.0,2,41
Alto-Boqueirao,750.0,3,42
Alto-Boqueirao,1350.0,2,60
Alto-Boqueirao,450.0,1,32
Alto-Boqueirao,921.0,2,55
Alto-Boqueirao,2500.0,4,450
Alto-Boqueirao,600.0,1,30
Alto-Boqueirao,600.0,1,30
Alto-Boqueirao,600.0,1,30
Alto-Boqueirao,875.0,2,45
Alto-Boqueirao,902.0,2,76
Alto-Boqueirao,900.0,2,60
Alto-Boqueirao,350.0,3,51
Alto-Boqueirao,800.0,3,50
,800.0,,
Alto-da-Gloria,2000.0,3,94
Alto-da-Gloria,1800.0,3,72
Alto-da-Gloria,25000.0,,"1,064"
Alto-da-Gloria,2500.0,3,159
Alto-da-Gloria,1200.0,1,29
Alto-da-Gloria,1190.0,1,35
Alto-da-Gloria,1250.0,1,26
Alto-da-Gloria,1500.0,1,40
Alto-da-Gloria,1350.0,1,40
Alto-da-Gloria,3050.0,4,140
Alto-da-Gloria,1730.0,3,98
Alto-da-Gloria,2090.0,3,106
Alto-da-Gloria,1100.0,1,36
Alto-da-Rua-XV,1648.0,3,119
Alto-da-Rua-XV,750.0,2,58
Alto-da-Rua-XV,850.0,2,75
Alto-da-Rua-XV,1500.0,1,37
Alto-da-Rua-XV,1500.0,1,37
Alto-da-Rua-XV,3850.0,4,238
Alto-da-Rua-XV,3850.0,4,238
Alto-da-Rua-XV,3850.0,4,238
Alto-da-Rua-XV,3850.0,4,238
Alto-da-Rua-XV,1450.0,1,33
Alto-da-Rua-XV,1200.0,2,67
Alto-da-Rua-XV,2000.0,3,131
Alto-da-Rua-XV,1388.0,1,31
Alto-da-Rua-XV,2000.0,3,131
Alto-da-Rua-XV,850.0,2,75
Atuba,1530.0,1,32
Atuba,3200.0,1,57
Atuba,1500.0,3,64
Atuba,1300.0,2,50
Atuba,1100.0,3,66
Atuba,1180.0,2,51
Atuba,1100.0,1,60
Atuba,850.0,2,38
Atuba,1600.0,1,70
Atuba,1200.0,2,71
Atuba,1612.0,2,50
Atuba,7000.0,5,275
Bacacheri,1300.0,2,40
Bacacheri,2.0,4,127
Bacacheri,1400.0,1,128
Bacacheri,1180.0,3,80
Bacacheri,1380.0,3,69
Bacacheri,2580.0,3,133
Bacacheri,1100.0,3,100
Bacacheri,6900.0,3,241
Bacacheri,950.0,1,40
Bacacheri,970.0,2,68
Bacacheri,6900.0,4,223
Bacacheri,980.0,1,30
Bacacheri,900.0,3,70
Bacacheri,995.0,3,80
Bairro-Alto,1500.0,3,90
Bairro-Alto,1500.0,3,90
Bairro-Alto,400.0,1,30
Bairro-Alto,2000.0,4,153
Bairro-Alto,1850.0,3,70
Bairro-Alto,4700.0,3,280
Bairro-Alto,765.0,1,50
Bairro-Alto,950.0,3,65
Bairro-Alto,950.0,3,65
Bairro-Alto,520.0,1,26
Batel,1300.0,1,38
Batel,1200.0,2,92
Batel,1990.0,3,188
Batel,3000.0,1,45
Batel,2300.0,3,85
