bairro,precos,quartos,areas
Abranches,960.0,1.0,50.0
Abranches,862.0,1.0,40.0
Abranches,855.0,1.0,28.0
Abranches,855.0,1.0,28.0
Abranches,855.0,1.0,28.0
Abranches,700.0,2.0,55.0
Abranches,600.0,1.0,35.0
Abranches,1020.0,3.0,90.0
Abranches,1100.0,3.0,72.0
Alto da Rua XV,1035.0,2.0,43.0
Alto da Rua XV,1890.0,3.0,100.0
Alto da Rua XV,1300.0,2.0,80.0
Alto da Rua XV,1550.0,3.0,130.0
Alto da Rua XV,1000.0,1.0,31.0
Alto da Rua XV,700.0,1.0,40.0
Atuba,1275.0,2.0,51.0
Atuba,1100.0,2.0,52.0
Atuba,950.0,3.0,70.0
Atuba,1200.0,3.0,46.0
Atuba,1612.0,2.0,50.0
Atuba,2200.0,2.0,73.0
Atuba,2200.0,4.0,225.0
Atuba,1550.0,1.0,48.0
Bacacheri,1360.0,3.0,70.0
Bacacheri,1450.0,2.0,80.0
Bacacheri,3000.0,3.0,147.0
Bacacheri,1150.0,3.0,89.0
Bacacheri,900.0,2.0,55.0
Bacacheri,1290.0,2.0,70.0
Bacacheri,1400.0,3.0,99.0
Bacacheri,1000.0,2.0,75.0
Bacacheri,950.0,2.0,45.0
Bacacheri,2000.0,2.0,102.0
Bacacheri,1450.0,2.0,80.0
Bacacheri,1200.0,3.0,80.0
Bacacheri,1450.0,2.0,76.0
Bacacheri,1250.0,3.0,102.0
Bacacheri,900.0,3.0,70.0
Bacacheri,1400.0,3.0,100.0
Bacacheri,1600.0,3.0,110.0
Bacacheri,900.0,2.0,75.0
Bairro Alto,690.0,2.0,57.0
Bairro Alto,1090.0,2.0,44.0
Bairro Alto,799.0,1.0,34.0
Bairro Alto,1240.0,3.0,70.0
Bairro Alto,899.0,1.0,35.0
Bairro Alto,2000.0,4.0,153.0
Bairro Alto,765.0,1.0,50.0
Bairro Alto,552.0,1.0,47.0
Bairro Alto,1000.0,2.0,74.0
Bairro Alto,799.0,1.0,34.0
