,bairro,precos,quartos,areas
0,Abranches,960.0,1.0,50.0
1,Abranches,862.0,1.0,40.0
2,Abranches,855.0,1.0,28.0
3,Abranches,855.0,1.0,28.0
4,Abranches,855.0,1.0,28.0
5,Abranches,700.0,2.0,55.0
6,Abranches,600.0,1.0,35.0
7,Abranches,1020.0,3.0,90.0
8,Abranches,1100.0,3.0,72.0
9,Alto da Rua XV,1035.0,2.0,43.0
10,Alto da Rua XV,1890.0,3.0,100.0
11,Alto da Rua XV,1300.0,2.0,80.0
12,Alto da Rua XV,1550.0,3.0,130.0
13,Alto da Rua XV,1000.0,1.0,31.0
14,Alto da Rua XV,700.0,1.0,40.0
15,Atuba,1275.0,2.0,51.0
16,Atuba,1100.0,2.0,52.0
17,Atuba,950.0,3.0,70.0
18,Atuba,1200.0,3.0,46.0
19,Atuba,1612.0,2.0,50.0
22,Atuba,2200.0,2.0,73.0
24,Atuba,2200.0,4.0,225.0
25,Atuba,1550.0,1.0,48.0
26,Bacacheri,1360.0,3.0,70.0
27,Bacacheri,1450.0,2.0,80.0
28,Bacacheri,3000.0,3.0,147.0
29,Bacacheri,1150.0,3.0,89.0
30,Bacacheri,900.0,2.0,55.0
31,Bacacheri,1290.0,2.0,70.0
32,Bacacheri,1400.0,3.0,99.0
33,Bacacheri,1000.0,2.0,75.0
34,Bacacheri,950.0,2.0,45.0
36,Bacacheri,2000.0,2.0,102.0
37,Bacacheri,1450.0,2.0,80.0
38,Bacacheri,1200.0,3.0,80.0
39,Bacacheri,1450.0,2.0,76.0
40,Bacacheri,1250.0,3.0,102.0
41,Bacacheri,900.0,3.0,70.0
42,Bacacheri,1400.0,3.0,100.0
43,Bacacheri,1600.0,3.0,110.0
44,Bacacheri,900.0,2.0,75.0
46,Bairro Alto,690.0,2.0,57.0
47,Bairro Alto,1090.0,2.0,44.0
48,Bairro Alto,799.0,1.0,34.0
49,Bairro Alto,1240.0,3.0,70.0
50,Bairro Alto,899.0,1.0,35.0
51,Bairro Alto,2000.0,4.0,153.0
52,Bairro Alto,765.0,1.0,50.0
53,Bairro Alto,552.0,1.0,47.0
54,Bairro Alto,1000.0,2.0,74.0
55,Bairro Alto,799.0,1.0,34.0
56,Bairro Alto,1850.0,4.0,140.0
57,Bairro Alto,745.0,2.0,65.0
58,Bairro Alto,950.0,3.0,65.0
59,Bairro Alto,900.0,3.0,66.0
60,Bairro Alto,950.0,3.0,65.0
61,Bairro Alto,790.0,3.0,64.0
62,Batel,1600.0,3.0,128.0
63,Batel,1500.0,3.0,131.0
64,Batel,1190.0,2.0,91.0
68,Batel,2000.0,1.0,29.0
69,Batel,2300.0,1.0,29.0
71,Batel,2000.0,4.0,307.0
72,Batel,990.0,3.0,97.0
73,Batel,1990.0,3.0,120.0
75,Batel,3000.0,3.0,172.0
76,Batel,2000.0,3.0,801.0
77,Batel,2800.0,3.0,154.0
78,Batel,1680.0,3.0,100.0
80,Batel,1150.0,1.0,40.0
81,Batel,2400.0,4.0,190.0
82,Batel,1800.0,1.0,30.0
83,Batel,2200.0,2.0,93.0
91,Batel,2500.0,4.0,270.0
92,Batel,2000.0,1.0,29.0
93,Batel,1500.0,3.0,101.0
94,Batel,1150.0,1.0,40.0
95,Batel,1550.0,2.0,110.0
96,Bigorrilho,1000.0,2.0,70.0
97,Bigorrilho,1280.0,2.0,72.0
98,Bigorrilho,2400.0,2.0,62.0
99,Bigorrilho,1500.0,3.0,89.0
100,Bigorrilho,1500.0,3.0,71.0
101,Bigorrilho,1335.0,2.0,33.0
102,Bigorrilho,1600.0,,134.0
103,Bigorrilho,1800.0,,125.0
104,Bigorrilho,1800.0,,125.0
105,Bigorrilho,1600.0,,134.0
106,Bigorrilho,850.0,2.0,
107,Bigorrilho,1500.0,1.0,29.0
108,Bigorrilho,2690.0,3.0,131.0
111,Bigorrilho,2700.0,2.0,105.0
112,Bigorrilho,2700.0,2.0,105.0
113,Bigorrilho,2850.0,3.0,121.0
114,Bigorrilho,1300.0,3.0,73.0
115,Bigorrilho,2690.0,3.0,131.0
118,Bigorrilho,2200.0,3.0,123.0
119,Bigorrilho,1200.0,1.0,54.0
120,Bigorrilho,2600.0,2.0,183.0
121,Bigorrilho,2690.0,3.0,105.0
122,Bigorrilho,2690.0,3.0,105.0
123,Bigorrilho,2690.0,3.0,105.0
124,Bigorrilho,1850.0,3.0,82.0
125,Bigorrilho,1500.0,2.0,75.0
126,Bigorrilho,2690.0,3.0,105.0
127,Bigorrilho,2800.0,2.0,69.0
128,Bigorrilho,2600.0,4.0,183.0
129,Bigorrilho,2000.0,2.0,74.0
130,Bigorrilho,2700.0,4.0,242.0
131,Bigorrilho,1500.0,3.0,103.0
132,Bigorrilho,2000.0,3.0,101.0
133,Bigorrilho,2700.0,3.0,95.0
134,Bigorrilho,2999.0,2.0,78.0
135,Bigorrilho,1350.0,2.0,102.0
136,Bigorrilho,1400.0,2.0,50.0
137,Bigorrilho,900.0,1.0,50.0
138,Bigorrilho,1573.0,2.0,70.0
140,Bigorrilho,850.0,1.0,60.0
