bairro,precos,quartos,areas,IDHM,regional
Abranches,2500.0,2.0,80.0,0.8,Regional boa vista
Abranches,2100.0,2.0,65.0,0.8,Regional boa vista
Abranches,2500.0,2.0,80.0,0.8,Regional boa vista
Abranches,2100.0,2.0,65.0,0.8,Regional boa vista
Abranches,600.0,1.0,35.0,0.8,Regional boa vista
Abranches,855.0,1.0,28.0,0.8,Regional boa vista
Abranches,855.0,1.0,28.0,0.8,Regional boa vista
Abranches,855.0,1.0,28.0,0.8,Regional boa vista
Agua verde,2200.0,1.0,32.0,0.946,Regional portao
Agua verde,1474.0,2.0,76.0,0.946,Regional portao
Agua verde,1990.0,4.0,270.0,0.946,Regional portao
Agua verde,1100.0,2.0,55.0,0.946,Regional portao
Agua verde,1690.0,3.0,72.0,0.946,Regional portao
Agua verde,1100.0,2.0,55.0,0.946,Regional portao
Agua verde,990.0,2.0,65.0,0.946,Regional portao
Agua verde,1500.0,2.0,81.0,0.946,Regional portao
Agua verde,1400.0,1.0,49.0,0.946,Regional portao
Agua verde,2330.0,3.0,151.0,0.946,Regional portao
Agua verde,850.0,1.0,55.0,0.946,Regional portao
Agua verde,1300.0,1.0,25.0,0.946,Regional portao
Agua verde,1100.0,2.0,54.0,0.946,Regional portao
Agua verde,1620.0,2.0,66.0,0.946,Regional portao
Agua verde,1500.0,2.0,95.0,0.946,Regional portao
Agua verde,1700.0,3.0,149.0,0.946,Regional portao
Agua verde,1500.0,1.0,26.0,0.946,Regional portao
Agua verde,1550.0,3.0,140.0,0.946,Regional portao
Agua verde,1640.0,1.0,42.0,0.946,Regional portao
Agua verde,2250.0,3.0,139.0,0.946,Regional portao
Agua verde,2900.0,4.0,202.0,0.946,Regional portao
Agua verde,1390.0,2.0,33.0,0.946,Regional portao
Agua verde,900.0,1.0,30.0,0.946,Regional portao
Agua verde,1400.0,1.0,31.0,0.946,Regional portao
Agua verde,3200.0,3.0,111.0,0.946,Regional portao
Agua verde,1200.0,1.0,29.0,0.946,Regional portao
Agua verde,1300.0,2.0,106.0,0.946,Regional portao
Agua verde,2950.0,4.0,159.0,0.946,Regional portao
Agua verde,1600.0,1.0,34.0,0.946,Regional portao
Agua verde,1200.0,2.0,54.0,0.946,Regional portao
Agua verde,1720.0,2.0,66.0,0.946,Regional portao
Agua verde,1400.0,2.0,64.0,0.946,Regional portao
Agua verde,1300.0,1.0,31.0,0.946,Regional portao
Agua verde,1500.0,1.0,46.0,0.946,Regional portao
Agua verde,1200.0,1.0,29.0,0.946,Regional portao
Agua verde,1230.0,1.0,31.0,0.946,Regional portao
Agua verde,1500.0,1.0,30.0,0.946,Regional portao
Agua verde,2400.0,4.0,175.0,0.946,Regional portao
Ahu,990.0,1.0,40.0,0.929,Regional matriz
Ahu,2000.0,2.0,100.0,0.929,Regional matriz
Ahu,2000.0,2.0,100.0,0.929,Regional matriz
Ahu,1100.0,3.0,96.0,0.929,Regional matriz
Ahu,2900.0,3.0,177.0,0.929,Regional matriz
Ahu,1200.0,3.0,65.0,0.929,Regional matriz
Ahu,1900.0,3.0,65.0,0.929,Regional matriz
Ahu,2800.0,1.0,110.0,0.929,Regional matriz
Ahu,905.0,3.0,72.0,0.929,Regional matriz
Ahu,800.0,2.0,80.0,0.929,Regional matriz
Alto boqueirao,900.0,2.0,41.0,0.75,Regional boqueirao
Alto boqueirao,750.0,3.0,42.0,0.75,Regional boqueirao
Alto boqueirao,1350.0,2.0,60.0,0.75,Regional boqueirao
Alto boqueirao,450.0,1.0,32.0,0.75,Regional boqueirao
Alto boqueirao,921.0,2.0,55.0,0.75,Regional boqueirao
Alto boqueirao,600.0,1.0,30.0,0.75,Regional boqueirao
Alto boqueirao,600.0,1.0,30.0,0.75,Regional boqueirao
Alto boqueirao,600.0,1.0,30.0,0.75,Regional boqueirao
Alto boqueirao,875.0,2.0,45.0,0.75,Regional boqueirao
Alto boqueirao,902.0,2.0,76.0,0.75,Regional boqueirao
Alto boqueirao,900.0,2.0,60.0,0.75,Regional boqueirao
Alto boqueirao,350.0,3.0,51.0,0.75,Regional boqueirao
Alto boqueirao,800.0,3.0,50.0,0.75,Regional boqueirao
Alto da gloria,2000.0,3.0,94.0,0.949,Regional matriz
Alto da gloria,1800.0,3.0,72.0,0.949,Regional matriz
Alto da gloria,2500.0,3.0,159.0,0.949,Regional matriz
Alto da gloria,1200.0,1.0,29.0,0.949,Regional matriz
Alto da gloria,1190.0,1.0,35.0,0.949,Regional matriz
Alto da gloria,1250.0,1.0,26.0,0.949,Regional matriz
Alto da gloria,1500.0,1.0,40.0,0.949,Regional matriz
Alto da gloria,1350.0,1.0,40.0,0.949,Regional matriz
Alto da gloria,3050.0,4.0,140.0,0.949,Regional matriz
Alto da gloria,1730.0,3.0,98.0,0.949,Regional matriz
Alto da gloria,2090.0,3.0,106.0,0.949,Regional matriz
Alto da gloria,1100.0,1.0,36.0,0.949,Regional matriz
Alto da rua xv,1648.0,3.0,119.0,0.929,Regional matriz
Alto da rua xv,750.0,2.0,58.0,0.929,Regional matriz
Alto da rua xv,850.0,2.0,75.0,0.929,Regional matriz
Alto da rua xv,1500.0,1.0,37.0,0.929,Regional matriz
Alto da rua xv,1500.0,1.0,37.0,0.929,Regional matriz
Alto da rua xv,1450.0,1.0,33.0,0.929,Regional matriz
Alto da rua xv,1200.0,2.0,67.0,0.929,Regional matriz
Alto da rua xv,2000.0,3.0,131.0,0.929,Regional matriz
Alto da rua xv,1388.0,1.0,31.0,0.929,Regional matriz
Alto da rua xv,2000.0,3.0,131.0,0.929,Regional matriz
Alto da rua xv,850.0,2.0,75.0,0.929,Regional matriz
Atuba,1530.0,1.0,32.0,0.809,Regional boa vista
Atuba,3200.0,1.0,57.0,0.809,Regional boa vista
Atuba,1500.0,3.0,64.0,0.809,Regional boa vista
Atuba,1300.0,2.0,50.0,0.809,Regional boa vista
Atuba,1100.0,3.0,66.0,0.809,Regional boa vista
Atuba,1180.0,2.0,51.0,0.809,Regional boa vista
Atuba,1100.0,1.0,60.0,0.809,Regional boa vista
Atuba,850.0,2.0,38.0,0.809,Regional boa vista
Atuba,1600.0,1.0,70.0,0.809,Regional boa vista
Atuba,1200.0,2.0,71.0,0.809,Regional boa vista
Atuba,1612.0,2.0,50.0,0.809,Regional boa vista
Bacacheri,1300.0,2.0,40.0,0.876,Regional boa vista
Bacacheri,1400.0,1.0,128.0,0.876,Regional boa vista
Bacacheri,1180.0,3.0,80.0,0.876,Regional boa vista
Bacacheri,1380.0,3.0,69.0,0.876,Regional boa vista
Bacacheri,2580.0,3.0,133.0,0.876,Regional boa vista
Bacacheri,1100.0,3.0,100.0,0.876,Regional boa vista
Bacacheri,950.0,1.0,40.0,0.876,Regional boa vista
Bacacheri,970.0,2.0,68.0,0.876,Regional boa vista
Bacacheri,980.0,1.0,30.0,0.876,Regional boa vista
Bacacheri,900.0,3.0,70.0,0.876,Regional boa vista
Bacacheri,995.0,3.0,80.0,0.876,Regional boa vista
Bairro alto,1500.0,3.0,90.0,0.796,Regional boa vista
Bairro alto,1500.0,3.0,90.0,0.796,Regional boa vista
Bairro alto,400.0,1.0,30.0,0.796,Regional boa vista
Bairro alto,2000.0,4.0,153.0,0.796,Regional boa vista
Bairro alto,1850.0,3.0,70.0,0.796,Regional boa vista
Bairro alto,765.0,1.0,50.0,0.796,Regional boa vista
Bairro alto,950.0,3.0,65.0,0.796,Regional boa vista
